untersagen  hbk 1 nil nil 57
antragen  hbk 1 nil nil 56
folgern   korp  1 speech  nil 56
giften  hbk 1 nil nil 50
säuseln   korp  1 speech  nil 47
höhnen  korp  1 speech  nil 46
zuflüstern  korp  1 speech  nil 46
lispeln   korp  1 speech  nil 45
widerrufen  hbk 1 nil nil 44
Zusage  thes  1 nil nil 44
einlenken hbk 1 nil nil 43
appellieren hbk 1 nil nil 42
hinterbringen hbk 1 nil rep 39
kritzeln  hbk 1 nil nil 38
dozieren  korp  1 speech  nil 38
eifern  korp  1 speech  nil 38
lossagen  hbk 1 nil rep 37
grölen  hbk 1 nil nil 35
korrespondieren hbk 1 writing rep 34
abstreiten  hbk 1 nil nil 33
vorhersagen hbk 1 nil nil 32
beanstanden hbk 1 nil nil 30
befürworten hbk 1 nil rep 29
witzeln   korp  1 speech  nil 29
ratschen  hbk 1 nil rep 28
brabbeln  hbk 1 nil nil 28
sticheln  korp  1 speech  nil 26
nuscheln  hbk 1 nil nil 25
besingen  korp  1 speech  nil 25
spötteln  korp  1 speech  nil 25
unken hbk 1 nil nil 24
brummeln  korp  1 speech  nil 24
dokumentieren   korp  1 writing nil 24
zetern  korp  1 speech  nil 24
Einwendung  thes  1 nil nil 24
instruieren hbk 1 nil nil 23
verlautbaren  hbk 1 nil nil 23
lästern   korp  1 speech  nil 23
Bekanntmachung  thes  1 nil nil 22
androhen  hbk 1 nil trenn 21
abschwören  hbk 1 nil rep 20
raunzen   korp  1 speech  nil 20
zischeln  korp  1 speech  nil 18
jubilieren  hbk 1 nil nil 17
Absprache   thes  1 nil nil 17
interviewen hbk 1 nil rep 16
rückfragen  hbk 1 nil rep 15
lossprechen hbk 1 nil rep 14
Zusicherung   thes  1 nil nil 13
Darlegung   thes  1 nil nil 12
lobpreisen  hbk 1 nil rep 11
anzweifeln  hbk 1 nil nil 11
insinuieren hbk 1 nil nil 11
soufflieren   korp  1 speech  nil 11
anbetteln hbk 1 nil nil 9
dementieren hbk 1 nil nil 7
anmahnen  hbk 1 nil rep 6
flunkern  hbk 1 nil nil 6
chatten hbk 1 nil nil 5
nachhaken hbk 1 nil nil 5
vorlügen  hbk 1 nil nil 5
beschwindeln  hbk 1 nil rep 3
erlügen hbk 1 nil rep 3
ausquetschen  hbk 1 nil ambig 3
durchschwindeln hbk 1 nil rep 1
erschwindeln  hbk 1 nil rep 1
herumstottern hbk 1 nil rep 1
runterleiern  hbk 1 nil rep 1
runterrasseln hbk 1 nil rep 1
emailen hbk 1 writing nil 1
vorschwindeln hbk 1 nil nil 1
orakeln   korp  1 speech  nil 1
beflunkern  hbk 1 nil rep 0
durchlügen  hbk 1 nil rep 0
erflunkern  hbk 1 nil rep 0
herumstammeln hbk 1 nil rep 0
rumflunkern hbk 1 nil rep 0
rumlügen  hbk 1 nil rep 0
rumschwindeln hbk 1 nil rep 0
runterbeten hbk 1 nil rep 0
vorflunkern hbk 1 nil nil 0
Verständlichmachung   thes  1 nil nil 0
verstehen   korp  2 thought nil 6891
heißen  korp  2 speech  nil 6475
Stimme  thes  2 speech  rep 4569
Gefühl  erg 2 feel  nil 3844
bestimmen hbk 2 nil nil 3708
bemerken  korp  2 speech  nil 3180
erwarten  erg 2 thought nil 2865
Rede  thes  2 speech  nil 2376
Gespräch  thes  2 speech  rep 2271
freuen  korp  2 feel  nil 1879
brechen   korp  2 speech  nil 1829
Hoffnung  erg 2 thought nil 1750
drängen   korp  2 speech  nil 1280
entschuldigen   korp  2 speech  nil 1012
fügen hbk 2 nil teil  999
beruhigen   korp  2 speech  nil 931
Erzählung   thes  2 nil nil 866
lauten  korp  2 speech  nil 863
bestellen hbk 2 nil nil 819
feststellen hbk 2 nil nil 729
gewähren  hbk 2 nil nil 704
einladen  hbk 2 nil nil 698
ansprechen  hbk 2 nil nil 600
ausmachen hbk 2 nil nil 592
Vortrag   thes  2 speech  nil 583
summen  korp  2 speech  nil 526
eingehen  hbk 2 nil nil 515
verbreiten  hbk 2 nil nil 487
tönen   korp  2 speech  nil 483
unterrichten  hbk 2 nil rep 480
Bericht   thes  2 nil nil 474
würdigen  korp  2 speech  nil 463
Schreiben   thes  2 writing nil 458
verpflichten  hbk 2 nil nil 453
rechtfertigen   korp  2 speech  nil 449
hinzufügen  hbk 2 nil nil 409
dichten   korp  2 speech  nil 400
befürchten  erg 2 thought nil 389
forschen  korp  2 speech  nil 381
angeben hbk 2 nil nil 371
andeuten  hbk 2 nil nil 360
Vorsatz erg 2 nil nil 347
offenbaren  hbk 2 nil nil 345
fortsetzen  korp  2 speech  nil 341
übertreiben   korp  2 speech  nil 320
dröhnen   korp  2 speech  nil 301
segnen  hbk 2 nil nil 297
schluchzen  korp  2 speech  nil 285
pochen  korp  2 speech  nil 282
anbringen   korp  2 speech  nil 279
fortfahren  hbk 2 nil trenn 275
keuchen   korp  2 speech  nil 271
einführen   korp  2 speech  nil 269
beklagen  korp  2 speech  nil 264
anklagen  hbk 2 nil rep 258
wetten  hbk 2 nil nil 257
kündigen  hbk 2 nil rep 245
ausrichten  hbk 2 nil nil 239
beschwören  korp  2 speech  nil 235
predigen  korp  2 speech  nil 234
eingestehen hbk 2 nil nil 225
notieren  korp  2 speech  nil 225
schwärmen hbk 2 nil nil 223
bekunden  hbk 2 nil teil  216
weihen  hbk 2 nil rep 194
knirschen   korp  2 speech  nil 187
bestreiten  hbk 2 speech  nil 185
betteln hbk 2 nil nil 181
aufrufen  hbk 2 nil nil 172
brüsten hbk 2 nil nil 172
beraten hbk 2 nil nil 171
Versicherung  thes  2 nil nil 166
kreischen   korp  2 speech  nil 159
verfassen hbk 2 nil teil  158
garantieren hbk 2 nil nil 157
vorbringen  hbk 2 nil nil 156
spotten   korp  2 speech  nil 156
Unterredung   thes  2 nil rep 149
mißbilligen   korp  2 thought nil 139
fauchen   korp  2 speech  nil 137
wimmern   korp  2 speech  nil 127
klarmachen  hbk 2 nil nil 117
zutragen  hbk 2 nil nil 117
verhöhnen hbk 2 nil rep 112
verordnen hbk 2 nil nil 99
schnurren   korp  2 speech  nil 96
Erläuterung   thes  2 nil nil 96
Erörterung  thes  2 nil nil 94
benachrichtigen hbk 2 nil nil 85
krächzen  korp  2 speech  nil 85
genehmigen  hbk 2 nil nil 79
Beichte   thes  2 nil nil 79
definieren  hbk 2 nil nil 78
abmachen  hbk 2 nil nil 73
verspotten  hbk 2 nil rep 72
grollen   korp  2 speech  nil 70
entfahren   korp  2 speech  nil 67
röcheln   korp  2 speech  nil 66
glucksen  korp  2 speech  nil 64
Widerrede   thes  2 nil nil 64
gemahnen  hbk 2 nil rep 63
schwindeln  hbk 2 nil ambig 62
entkräften  hbk 2 nil nil 56
meckern hbk 2 nil nil 56
